1003	0	1	10	9	3	21
1003	0	1	10	9	41	11
111	0	1	17	17	15	25
1002	0	1	17	17	15	30
1000	0	1	17	17	16	24
1000	0	1	17	17	20	19
1002	0	1	17	17	23	18
1002	0	1	17	17	26	11
1005	0	1	20	14	33	42
1003	0	1	21	10	27	4
1003	0	1	21	10	27	11
1003	0	1	23	11	43	4
1003	0	1	23	16	19	12
1003	0	1	24	16	39	16
24	0	1	24	16	39	18
1003	0	1	24	16	39	20
24	0	1	24	16	39	23
1003	0	1	24	16	39	25
24	0	1	24	16	39	27
1003	0	2	3	18	55	34
1003	0	2	3	19	31	9
1001	0	3	7	19	29	13
1003	0	3	7	19	29	27
111	0	3	7	21	35	55
114	0	3	7	21	43	53
112	0	3	13	21	23	12
113	0	3	13	21	23	16
114	0	3	13	21	23	18
115	0	3	13	21	23	20
1003	0	3	17	14	31	51
56	0	3	17	14	36	24
1003	0	3	26	15	17	18
24	0	3	26	15	17	20
126	0	4	3	14	30	28
126	0	4	3	14	31	17
111	0	4	3	14	58	4
1002	0	4	3	14	58	12
1003	0	4	22	9	54	11
1003	0	4	22	9	54	17
1003	0	4	22	9	54	22
1003	0	5	13	11	24	5
1004	0	7	15	16	28	3
141	0	7	15	16	29	39
141	0	7	15	16	33	6
1000	0	7	15	16	41	3
126	0	7	15	16	48	49
1008	0	7	15	16	50	39
1000	0	7	15	16	54	41
1003	0	7	25	8	51	7
24	0	7	25	8	51	11
1004	0	7	25	8	51	15
1003	0	7	25	8	51	17
24	0	7	25	8	51	20
1004	0	7	25	8	51	22
1003	0	7	25	8	51	24
1003	0	2	3	18	55	34
1003	0	2	3	19	31	9
1001	0	3	7	19	29	13
1003	0	3	7	19	29	27
111	0	3	7	21	35	55
114	0	3	7	21	43	53
112	0	3	13	21	23	12
113	0	3	13	21	23	16
114	0	3	13	21	23	18
115	0	3	13	21	23	20
1003	0	3	17	14	31	51
56	0	3	17	14	36	24
1003	0	3	26	15	17	18
24	0	3	26	15	17	20
126	0	4	3	14	30	28
126	0	4	3	14	31	17
111	0	4	3	14	58	4
1002	0	4	3	14	58	12
1003	0	4	22	9	54	11
1003	0	4	22	9	54	17
1003	0	4	22	9	54	22
